9031_GENEID,9606_GENEID
426024,10296
429363,10297
770462,10298
420927,10299
415631,10300
416791,2802
424605,3652
426151,4076
395679,4090
c(429683, 395544),4092
421726,4121
422712,4126
428485,4160
421047,4161
424295,4175
421281,4190
431059,4209
374137,4223
415586,4236
416261,4238
415494,4240
396127,4241
423339,4253
418942,4285
414897,4297
420089,4298
422590,4299
428703,4303
418425,4345
428218,4520
419489,4524
396338,4544
423888,4601
374126,4664
693262,6495
417334,6904
374202,6926
425644,7203
421526,7257
395626,7347
415752,7386
422857,7466
414336,8128
422825,8842
395472,10312
428898,8846
426366,8872
395490,8887
430150,9254
426399,9537
419355,9825
419950,9902
415550,10302
418519,10311
424006,10314
424164,10324
415825,10328
423037,10335
418391,10342
769141,10367
427909,10369
395399,10370
421347,10380
420677,10392
422740,10395
418936,51761
417044,10399
395138,10402
429022,11069
396171,10413
395657,10418
426847,10449
418014,10454
417050,3108
426017,747
769637,23585
396249,940
415793,1783
408037,2810
419863,3664
420002,3927
418205,4033
770845,4745
419528,4747
417799,4753
100859203,4761
395699,4762
419730,4798
101747314,4824
423899,4892
419972,4905
396157,4915
417883,4922
424320,4929
386586,654231
424077,4999
425279,5036
100859138,5075
395204,5108
771220,5121
395834,5146
378929,5149
769077,5157
420361,5168
421131,5179
426601,5264
100859153,5300
416912,23760
428164,5360
100859398,5425
416997,5426
424954,5437
426289,5438
373994,5450
395479,5467
424894,5504
419220,5509
429110,5563
428753,5593
427758,5900
100858258,6271
424038,6285
419718,6484
431253,6867
429878,7016
424780,7029
423989,7035
378897,7070
421684,7128
423477,7127
423082,7251
395336,7301
769030,7965
395187,8243
418579,8406
419548,10256
427287,10336
418750,10426
374073,10428
426080,10432
418292,10436
421267,10438
417205,10444
426664,10445
419493,10459
395836,10461
422778,10463
418820,10464
420053,10469
416050,10474
424122,10477
418004,10478
421602,10480
771676,10481
423335,10484
424612,10489
415363,10518
770162,10519
420144,10523
428251,10525
423046,10527
426574,10528
415961,10533
423364,10538
395587,10540
419811,10542
395736,4739
424867,10544
418601,10549
426074,10550
420596,10551
770269,10552
772114,10555
420530,10557
426145,10558
418826,10562
420170,10565
416157,10569
423493,10572
428806,10574
395414,10575
417846,10576
423353,10577
416782,10587
415484,10588
396156,10592
417559,10594
428577,10602
427195,10605
396534,10606
416545,10607
422890,10608
430099,10609
396159,10610
423670,10613
771702,10615
771090,10617
100859297,10620
416723,10621
395429,10631
100859584,10634
769193,10636
100859561,257
101752092,1203
396164,3090
425107,3957
448832,4162
424782,5922
426697,6301
421660,6993
395235,7475
419340,7764
771226,8089
418952,8100
420124,8178
419208,8202
771009,9635
415369,9960
395378,10368
420176,10499
423968,10539
425132,10641
