GENEID_10181,GENEID_9606
101701823,6452
101698213,8602
101699444,118
101702109,79944
101717343,57544
101708449,51637
101719056,51637
101718483,22795
101698617,64395
101702423,10992
101713974,57542
101716905,2778
101712251,10059
101713152,10059
101701876,5744
101723069,116154
101699961,51290
101705471,7022
101724489,6790
101711096,57091
101696483,8544
101715454,28971
101703572,5990
101700171,339175
101723933,6820
101713296,29929
101726127,4849
106007867,51206
101701882,5775
101713381,8886
101721809,8570
101722520,2767
101710691,55616
101700166,111089941
101700166,55741
101725788,1789
101715995,28954
101712806,22974
101710745,81572
101719485,2036
101717133,6564
101716323,55608
101703030,23483
101718931,1795
101712282,51161
101710528,57017
101699711,55287
101709297,64147
101705924,79822
101720146,54675
101709202,23368
101697196,8455
101707899,54498
101698560,6614
101702830,2280
101704155,55968
101722839,83959
101722265,25943
101710281,57593
101711243,56265
101703437,57506
101719551,9762
101717554,2160
101697198,22803
101696820,55857
101696473,8655
101713669,54997
101714241,27131
101701934,6128
101720849,55423
101703557,8550
101721795,5027
101704156,51575
101718753,10741
101724399,51433
101712807,9962
101724755,80024
101713649,29058
101716687,55184
101721214,64211
101703788,55617
101699903,4938
101703107,10985
101701226,5829
101700255,23409
101700256,22895
101707293,55614
101718624,51605
101717486,1114
101720042,6910
101708618,8315
101702986,10961
101711993,4842
101716667,2521
101703385,3476
101709918,57655
101703783,5349
101710829,9843
101707141,29965
101721224,29965
101725732,23415
101720326,23193
101722577,51291
101696576,55285
101703201,332
101716254,3902
101714981,8079
101706786,78990
101713487,57062
101709068,57062
101706681,7597
101711171,25977
101705758,170961
101720489,55760
101719777,23186
101711467,55668
101699243,8425
101697384,645
101724784,6548
101716616,10558
101714424,10914
101710005,8812
101699011,57060
101701218,5996
101699744,83719
101703846,51650
101702077,4708
101720892,10726
101717857,10296
101713679,3383
101720977,29888
101704873,11213
101723154,4069
101711933,6476
101713474,79594
101715683,7023
101724702,10081
101696663,51324
101722455,26998
101724347,51726
101709763,55214
101705058,7066
101704243,8646
101698597,2323
101723986,9727
101715733,84572
101722042,2802
101712162,8761
101715336,79603
101697714,57192
101698862,84196
101705409,1947
101715422,55066
101717838,16
101714817,2734
101721159,24137
101705923,24137
101724472,27327
101696808,64857
101725599,10683
101702170,57106
101717840,57605
101724313,55763
101698512,54439
101699239,5459
101706594,114882
101717817,113878
101712438,58484
101714237,54517
101696564,4897
101700233,3912
101702473,5172
101701069,1811
101699518,1738
101711846,23335
101710634,9352
101701153,3568
101724003,368
101710008,54918
101705215,3655
101706913,11069
101707762,51776
101726250,23676
101715373,2271
101698084,23231
101719398,7018
101715117,55573
101707103,51168
101706740,54890
101716619,350
101706682,83394
101723171,9552
101697513,23594
101718522,79776
101697739,57084
101699386,1357
101701762,51530
101715977,2099
101712305,26575
101710564,285
101725602,84336
101699493,4345
101726064,151887
101714600,1215
101703339,5720
101709952,55012
101721573,54930
101709116,84502
101707190,4625
101718295,1053
101717508,23428
101710774,55644
101715188,51310
101702384,55072
101703930,23256
101704886,55632
101699905,25831
101698199,57096
101699312,11198
101700262,9878
101715665,8487
101723323,7051
