10047_GENEID,9606_GENEID
110551222,83394
110557344,9552
110552990,23594
110561440,79776
110561295,57084
110550987,1357
110550994,51530
110564484,26575
110559352,285
110551882,84336
110540026,4345
110565185,151887
110544703,1215
110556527,5720
110559682,55012
110550051,54930
110566648,84502
110550050,1053
110550028,23428
110549701,55644
110550040,51310
110556518,55072
110558976,23256
110559434,55632
110558977,25831
110557720,3183
110557738,57096
110557727,11198
110557724,9878
110553699,8487
110556536,7051
110556515,26277
110548175,1618
110562629,90665
110560462,57556
110551943,54822
110550594,7301
110556209,79968
110549916,825
110549902,8773
110561132,6913
110545917,26227
110547881,7430
110559392,4637
110562992,26523
110562993,26523
110554189,27285
110554186,27285
110540346,63967
110551833,117584
110547958,201294
110540952,79157
110540953,79157
110559309,1808
110549244,7042
110549240,55105
110545035,10762
110553345,8318
110553343,1312
110565410,55350
110565409,55350
110557228,55862
110559306,9209
110554667,9117
110555051,9942
110561985,10013
110559880,126370
110557315,2568
110558508,990
110541011,139596
110558470,8697
110552318,8086
110557603,23468
110562604,2327
110556824,51430
110552895,4436
110546648,4214
110545818,1725
110545823,29911
110546465,120400
110549107,372
110541361,54566
110559438,55151
110563758,5711
110560752,5742
110555856,23511
110556352,1384
110563739,10044
110551128,54187
110551132,55357
110556299,25861
110558284,5146
110552978,55280
110556101,57715
110545277,9044
110563201,64376
110546295,29760
110546316,7093
110558202,1592
110558201,1592
110545117,56165
110546303,10580
110550509,55118
110558293,25805
110561070,3589
110539327,53904
110563893,51322
110558294,1390
110548698,10101
110548528,284422
110544259,3096
110548749,54209
110551991,83795
110559797,10321
110544024,2289
110546561,6732
110546570,27154
110550354,55168
